
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	OFF	SA7-530-200	3	ON External	20.000	ON	1013	35.000	10%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.915	1018	100.000	20.950	53.000	18.553	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	12.10.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
12.10.2017	12:35:30	0.00		6.2041	---	---	---	28.158	---	---	---	1018.00	36.085	28.158	---	---	18.937	---	---	---	24.633	---	---	---	20.662	---	---	---	
12.10.2017	12:35:31	1.00		6.2020	---	---	---	28.128	---	---	---	1018.01	36.100	28.128	---	---	18.949	---	---	---	24.584	---	---	---	21.265	---	---	---	
12.10.2017	12:35:32	2.00		6.1923	---	---	---	28.121	---	---	---	1018.00	36.115	28.121	---	---	18.967	---	---	---	24.540	---	---	---	22.186	---	---	---	
12.10.2017	12:35:33	3.00		6.1856	---	---	---	28.060	---	---	---	1018.00	36.131	28.060	---	---	18.994	---	---	---	24.499	---	---	---	22.761	---	---	---	
12.10.2017	12:35:34	4.00		6.1817	---	---	---	28.052	---	---	---	1018.01	36.146	28.052	---	---	19.003	---	---	---	24.458	---	---	---	23.681	---	---	---	
12.10.2017	12:35:35	5.00		6.1638	---	---	---	28.087	---	---	---	1018.00	36.161	28.087	---	---	19.026	---	---	---	24.414	---	---	---	24.514	---	---	---	
12.10.2017	12:35:36	6.00		6.1537	---	---	---	28.064	---	---	---	1018.00	36.173	28.064	---	---	19.049	---	---	---	24.367	---	---	---	25.360	---	---	---	
12.10.2017	12:35:37	7.00		6.1457	---	---	---	28.078	---	---	---	1018.00	36.183	28.078	---	---	19.060	---	---	---	24.321	---	---	---	26.242	---	---	---	
12.10.2017	12:35:38	8.00		6.1313	---	---	---	28.098	---	---	---	1018.00	36.194	28.098	---	---	19.080	---	---	---	24.274	---	---	---	26.683	---	---	---	
12.10.2017	12:35:39	9.00		6.1239	---	---	---	28.045	---	---	---	1018.00	36.205	28.045	---	---	19.106	---	---	---	24.251	---	---	---	27.643	---	---	---	
12.10.2017	12:35:40	10.00		6.1276	---	---	---	28.031	---	---	---	1018.00	36.202	28.031	---	---	19.103	---	---	---	24.255	---	---	---	28.025	---	---	---	
12.10.2017	12:35:41	11.00		6.1214	---	---	---	28.022	---	---	---	1018.00	36.198	28.022	---	---	19.116	---	---	---	24.253	---	---	---	28.328	---	---	---	
12.10.2017	12:35:42	12.00		6.1163	---	---	---	28.031	---	---	---	1018.00	36.194	28.031	---	---	19.123	---	---	---	24.253	---	---	---	27.902	---	---	---	
12.10.2017	12:35:43	13.00		6.1164	---	---	---	28.069	---	---	---	1018.00	36.190	28.069	---	---	19.113	---	---	---	24.252	---	---	---	27.819	---	---	---	
12.10.2017	12:35:44	14.00		6.1148	---	---	---	28.079	---	---	---	1018.00	36.186	28.079	---	---	19.113	---	---	---	24.257	---	---	---	27.831	---	---	---	
12.10.2017	12:35:45	15.00		6.1153	---	---	---	28.084	---	---	---	1018.00	36.182	28.084	---	---	19.111	---	---	---	24.252	---	---	---	27.447	---	---	---	
